BLKOPS04 -- 1023902 assets in 156 filled pools

index  asset type                             assets
0      physpreset                                344
1      physconstraints                           766
2      destructibledef                           235
3      xanim                                   21968
4      xmodel                                  61139
5      xmodelmesh                             259051
6      material                               122750
7      compute_shader_set                        166
8      technique_set                            3597
9      image                                  167360
10     sound                                     100
11     clipmap                                    45
12     comworld                                   45
13     gameworld                                  45
14     gfxworld                                   45
15     fonticon                                    3
16     localize_entry                          52232
18     gesture                                   769
19     gesture_table                              88
20     weapon                                   1165
22     weapon_tunables                          1093
23     cgmedia                                     5
24     playersounds                                8
25     playerfx                                    4
26     sharedweaponsounds                         67
27     attachment                                458
28     attachment_unique                        2005
29     weapon_camo                                78
30     customization_table                         4
31     customization_table_fe_images               4
32     snddriver_globals                           1
33     fx                                       9966
34     tagfx                                     160
35     klf                                       274
36     impact_fx                                 111
37     impact_sound                               86
38     aitype                                    104
39     character                                 330
40     xmodelalias                                35
41     rawfile                                   343
42     xanim_tree                                  2
43     stringtable                               419
44     structured_table                           12
45     leaderboard                                63
46     ddl                                       321
47     glasses                                    45
48     scriptparsetree                          2633
50     scriptparsetreeforced                      59
51     keyvaluepairs                             513
52     vehicledef                                165
53     tracer                                     86
54     surfacefx_table                            90
55     surfacesounddef                           329
56     footstep_table                             38
57     entityfximpacts                            68
58     entitysoundimpacts                        163
59     zbarrier                                   45
60     vehiclefxdef                               16
61     vehiclesounddef                            35
63     scriptbundle                             6637
64     scriptbundlelist                          137
65     rumble                                    287
66     bulletpenetration                           2
67     locdmgtable                                 2
68     aimtable                                    3
70     playerglobaltunables                        5
71     animselectortableset                       42
72     animmappingtable                           53
73     animstatemachine                           39
74     behaviortree                               36
75     behaviorstatemachine                       25
76     ttf                                        17
77     sanim                                    1159
78     light_description                        1477
79     shellshock                                 45
80     status_effect                              69
81     cinematic_camera                           43
82     cinematic_sequence                         21
83     spectate_camera                             2
84     xcam                                      588
85     bg_cache                                   58
86     texture_combo                              52
87     flametable                                  2
88     bitfield                                   56
89     maptable                                   16
90     maptable_list                               2
91     maptable_loading_images                    15
92     maptable_preview_images                    14
93     maptableentry_level_assets                 37
94     objective                                 155
95     objective_list                              5
96     navmesh                                    45
97     navvolume                                  36
98     laser                                       5
99     beam                                      130
100    streamer_hint                              40
102    postfxbundle                              151
103    luafile                                  4656
105    renderoverridebundle                      197
106    static_level_fx_list                       45
107    trigger_list                               45
108    player_role_template                      122
109    player_role_category_table                  2
110    player_role_category                        5
111    character_body_type                       119
112    player_outfit                             590
113    gametypetable                               4
115    featuretable                                1
116    unlockable_item                           521
117    unlockable_item_table                       2
118    entity_list                                45
119    playlists                                   3
121    playlist_schedule                           1
122    motion_matching_input                       5
123    blackboard                                  1
124    tacticalquery                              51
125    player_movement_tunables                    7
126    hierarchical_task_network                  14
127    ragdoll                                    13
128    storagefile                                41
129    storagefilelist                             2
131    storeproduct                               36
132    storecategory                               8
133    storecategorylist                           2
134    rank                                      204
135    ranktable                                   5
136    prestige                                  157
137    prestigetable                               6
138    firstpartyentitlement                      21
139    firstpartyentitlementlist                   2
140    entitlement                                55
141    entitlementlist                             2
142    sku                                         2
143    labelstore                                  2
144    labelstorelist                              2
145    cpu_occlusion_data                         46
146    lighting                                   45
147    streamerworld                              45
148    talent                                     48
149    playertalenttemplate                        4
150    playeranimation                             1
152    terraingfx                                 45
153    highlightreelinfodefines                    3
154    highlightreelprofileweighting               1
155    highlightreelstarlevels                     3
156    dlogevent                                 268
157    rawstring                                 180
158    ballisticdesc                              10
159    streamkey                              292133
160    rendertargets                               1
161    drawnodes                                   1
162    grouplodmodel                               1
164    arenaseasons                                1
165    sprayorgestureitem                        404
166    sprayorgesturelist                          2
167    hwplatform                                  5
