BLKOPSCW -- 1677099 assets in 203 filled pools

index  asset type                             assets
2      physpreset                                390
3      physconstraints                          1327
4      destructibledef                           156
5      xanim                                   28468
6      xmodel                                  85612
7      xcollision                              60670
8      xskeleton                               85613
9      xmodelmesh                             271840
10     material                               158158
12     computeshaderset                          381
14     raytraceshaderset                           3
15     techset                                  7097
16     image                                  245235
18     sound_bank                                107
19     sound_asset                             97217
20     sound_duck                                191
21     sound_alias_modifier                       57
22     sound_acoustics                            42
24     clip_map                                   48
25     com_map                                    48
26     game_map                                   48
27     gfx_map                                    48
28     fonticon                                    3
29     localizeentry                           99294
30     gesture                                   466
31     gesturetable                              122
32     cinematicmotion                            10
33     weapon                                    685
35     weaponfrontend                            131
36     weaponblueprint                          1010
37     weaponstylesettings                       631
38     weaponsecondarymovement                    87
39     weapontunables                            534
40     cgmediatable                                5
41     playersoundstable                           4
42     playerfxtable                               5
43     sharedweaponsounds                         29
44     attachment                               2343
45     attachmentunique                         1640
46     weaponcamo                                 68
47     weaponcamobinding                        2796
48     customizationtable                          5
49     customizationtablefrontend                  2
50     snddriverglobals                            1
51     fx                                      10772
52     tagfx                                     122
53     klf                                       256
54     impactsfxtable                            183
55     impactsoundstable                          89
56     aitype                                    110
57     character                                 299
58     xmodelalias                                63
59     rawfile                                    25
60     rawfilepreproc                             95
61     rawtextfile                                11
62     animtree                                    3
63     stringtable                               199
64     structuredtable                            13
65     leaderboarddef                             68
66     ddl                                        71
67     glasses                                    48
68     scriptparsetree                          2330
70     script_using                              281
72     script_using_mp                           200
73     script_using_wz                           204
74     script_using_zm                           202
75     keyvaluepairs                             420
76     vehicle                                   114
77     tracer                                    302
78     surfacefxtable                            245
79     surfacesounddef                           201
80     footsteptable                              33
81     entityfximpacts                            84
82     entitysoundimpacts                         94
83     zbarrier                                    4
84     vehiclefxdef                               23
85     vehiclesounddef                            38
87     scriptbundle                            17304
88     scriptbundlelist                           87
89     rumble                                    370
90     bulletpenetration                           3
91     locdmgtable                                 2
92     aimtable                                    3
93     shoottable                                  1
94     playerglobaltunables                        5
95     overheadcameratunables                      6
96     animselectortable                          38
97     animmappingtable                           48
98     animstatemachine                           37
99     behaviortree                               34
100    behaviorstatemachine                       35
101    ttf                                        18
102    sanim                                     802
103    shellshock                                 35
104    statuseffect                               62
105    cinematic_camera                           36
106    cinematic_sequence                         15
107    spectate_camera                             2
108    xcam                                     1125
109    bgcache                                    53
110    flametable                                  4
111    bitfield                                   30
112    maptable                                    7
113    maptableentry                              67
114    maptablelist                                2
115    objective                                 392
116    objectivelist                               6
117    navmesh                                    48
118    navvolume                                  48
119    laser                                       7
120    beam                                      169
121    streamerhint                               79
123    postfxbundle                              152
124    luafile                                  4872
126    renderoverridebundle                      243
127    staticlevelfxlist                          48
128    triggerlist                                48
129    playerroletemplate                         85
130    playerroletemplatefrontend                 50
131    playerrolecategorytable                     2
132    playerrolecategory                          6
133    characterbodytype                          85
134    characterbodytypefrontend                  50
135    playeroutfit                              679
136    gametypetable                               5
137    gametypetableentry                         85
139    featuretable                                1
140    unlockableitem                            728
141    unlockableitemtable                         3
142    entitylist                                 48
143    playlists                                   3
145    playlistschedule                            1
146    motionmatchinginput                         5
147    blackboard                                  1
148    tacticalquery                              21
149    playermovementtunables                      7
151    ragdoll                                    10
152    storagefile                                33
153    storagefilelist                             2
154    charmixer                                   1
155    storeproduct                               32
156    storecategory                               8
157    storecategorylist                           2
158    rank                                      111
159    ranktable                                   3
160    prestige                                  257
161    prestigetable                               6
162    firstpartyentitlement                       1
163    firstpartyentitlementlist                   2
164    entitlement                                 2
165    entitlementlist                             2
166    sku                                         2
167    labelstore                                  2
168    labelstorelist                              2
169    cpu_occlusion_data                         49
170    lighting                                   48
171    districts                                  48
172    streamerworld                              48
173    talent                                    109
174    playertalenttemplate                        5
175    playeranimation                             1
177    terraingfx                                 48
178    highlightreelinfodefines                    3
179    highlightreelprofileweighting               1
180    highlightreelstarlevels                     3
181    dlogevent                                 418
182    rawstring                                  95
183    ballisticdesc                               6
184    streamkey                              420229
185    rendertargets                               1
187    grouplodmodel                             369
188    fxlibraryvolume                            94
189    arenaseasons                                1
190    sprayorgestureitem                         56
191    sprayorgesturelist                          2
192    hwplatform                                  5
195    uimodeldatastruct                         971
196    crafticon                                 968
197    crafticonlist                               2
198    craftweaponsticker                        780
199    craftweaponstickerlist                      2
200    craftbackground                          1572
201    craftbackgroundlist                         2
202    craftmaterial                              50
203    craftmateriallist                           2
204    craftcategory                              36
205    craftcategorylist                           2
206    craftweaponicontransform                    2
207    craftweaponicontransformlist                2
208    xanimcurve                                  2
209    dynmodel                                 1359
210    vectorfield                                 9
211    winddef                                    40
212    vehicleassembly                            37
213    milestone                                   3
214    milestonetable                              2
215    triggereffectdesc                          61
216    triggeractions                              5
217    playersettings                              2
218    compasstunables                             3
219    execution                                 140
220    scenario                                    1
221    sound_alias                             50890
